model,project,file,status,exit_code,time_seconds,input_tokens,output_tokens,total_tokens,cost
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds.rs,FAILED,233,1069.95,2913366,44357,2957723,9.405453
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_other_pending_request_interferes_with_vrs_reconcile.rs,FAILED,233,1062.4,2860228,67208,2927436,9.588804000000001
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_interfering_update_request.rs,FAILED,233,1177.45,2829872,58834,2888706,9.372126
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_of_previous_phases_entails_eventually_new_invariants.rs,FAILED,233,1200,2834081,37025,2871106,9.057618
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_mutation_request_not_from_controller_on_pods.rs,FAILED,233,1052.32,2805526,57265,2862791,9.275552999999999
claude,NR,NR__spec_t__os_invariant__next_step_preserves_inv_allocated_mem.rs,FAILED,233,1200,2796095,63927,2860022,9.34719
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates_on_vrs_object.rs,FAILED,-1,1200,2744002,78100,2822102,9.403506
claude,AC,AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds_per_cr.rs,FAILED,233,974.13,2711010,49410,2760420,8.874179999999999
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof_lemma_true_leads_to_always_current_state_matches.rs,FAILED,233,879.12,2720507,33630,2754137,8.665971
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds_per_cr.rs,FAILED,233,873.41,2705591,41693,2747284,8.742168
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_create_pod_rank_n_to_create_pod_rank_n_minus_1.rs,FAILED,233,1200,2693906,39258,2733164,8.670588
claude-s4,NR,NR__impl_u__os_refinement__step_MapStart_refines.rs,FAILED,233,1200,2677395,53854,2731249,8.839995
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_interfering_update_request.rs,FAILED,233,881.86,2679446,37409,2716855,8.599473
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_done.rs,FAILED,-1,1200,2665949,38845,2704794,8.580522
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_vrs_in_schedule_does_not_have_deletion_timestamp.rs,FAILED,233,1091.96,2610532,60234,2670766,8.735106
claude-s4,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,FAILED,233,986.05,2598371,45006,2643377,8.470203000000001
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__stable_spec_and_assumption_and_invariants_of_all_phases_is_stable.rs,FAILED,0,1200,2583816,32712,2616528,8.242128
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_diff_and_init_to_current_state_matches.rs,FAILED,-1,1200,2529210,79867,2609077,8.785635
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_at_after_delete_pod_step_to_done.rs,FAILED,233,1032.36,2525099,38233,2563332,8.148792
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_inv_allocated_mem.rs,FAILED,233,1200,2505002,50175,2555177,8.267631
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_vrs_reconcile_request_only_interferes_with_itself.rs,FAILED,233,1200,2497764,40694,2538458,8.103702
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_delete_pod_rank_n_to_delete_pod_rank_n_minus_1.rs,FAILED,233,1055.65,2460976,46037,2507013,8.073483
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_at_after_create_pod_step_to_done.rs,FAILED,233,1200,2439421,52268,2491689,8.102283
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_each_vrs_in_reconcile_implies_filtered_pods_owned_by_vrs.rs,FAILED,233,1200,2443501,42751,2486252,7.971768
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_create_or_delete_pod_rank_zero_to_reconcile_idle.rs,FAILED,233,1200,2418441,49300,2467741,7.994823
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_to_send_delete_pod_req.rs,FAILED,-1,1200,2421421,42393,2463814,7.900157999999999
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_tlb_inv.rs,FAILED,-1,1200,2411732,41268,2453000,7.854216
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,FAILED,233,1200,2391029,61115,2452144,8.089812
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_garbage_collector_does_not_delete_vrs_pods.rs,FAILED,233,946.74,2388627,61160,2449787,8.083281000000001
claude,NR,NR__spec_t__os_invariant__next_step_preserves_inv_mmu.rs,FAILED,233,1200,2372363,73407,2445770,8.218194
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_create_or_delete_pod_rank_zero_to_reconcile_idle.rs,FAILED,233,1053.1,2370372,66279,2436651,8.105301
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_list_pods_to_reconcile_idle.rs,FAILED,233,1200,2348273,45997,2394270,7.734774
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_diff_and_init_to_current_state_matches.rs,FAILED,-1,1200,2330950,56470,2387420,7.839900000000001
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,FAILED,233,799.27,2300577,36410,2336987,7.447881
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_create_pod_rank_n_to_create_pod_rank_n_minus_1.rs,FAILED,233,898.41,2285191,51365,2336556,7.626048000000001
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates.rs,FAILED,-1,1200,2282133,27058,2309191,7.252269
claude,AC,AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds.rs,FAILED,233,982.03,2251531,47213,2298744,7.462788
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp.rs,FAILED,233,1200,2174676,52905,2227581,7.317602999999999
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,FAILED,233,837.01,2189655,34633,2224288,7.08846
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,FAILED,233,762.57,2192327,29866,2222193,7.024971
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_send_delete_pod_req.rs,FAILED,233,1200,2177337,41096,2218433,7.1484510000000006
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__lemma_from_reconcile_idle_to_scheduled.rs,FAILED,233,851.04,2178043,36809,2214852,7.086264
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__lemma_from_scheduled_to_init_step.rs,FAILED,233,824.05,2172344,33240,2205584,7.015631999999999
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_vrs_in_ongoing_reconciles_does_not_have_deletion_timestamp.rs,FAILED,233,956.37,2156432,46655,2203087,7.169121
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_vrs_in_schedule_does_not_have_deletion_timestamp.rs,FAILED,233,769.78,2155323,37700,2193023,7.031469
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_delete_pod_req_to_receive_ok_resp.rs,FAILED,233,1200,2144270,44547,2188817,7.101015
claude,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_api_request_other_than_pending_req_msg_maintains_matching_pods.rs,FAILED,233,951.04,2136648,46284,2182932,7.104204
claude-s4,NR,NR__impl_u__wrapped_token__impl2__read.rs,FAILED,233,825.05,2148937,29865,2178802,6.894786
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates_on_vrs_object.rs,FAILED,233,1037.04,2136175,39987,2176162,7.008330000000001
claude,AC,AC__vreplicaset_controller__proof__liveness__proof__lemma_from_scheduled_to_init_step.rs,FAILED,233,1140.76,2124012,45006,2169018,7.047126
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,FAILED,233,970.63,2125198,30675,2155873,6.835719
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_vrs_in_ongoing_reconciles_does_not_have_deletion_timestamp.rs,FAILED,233,702.62,2117862,33409,2151271,6.854721
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key.rs,FAILED,233,966.86,2106864,37326,2144190,6.880482
claude,AC,AC__vreplicaset_controller__proof__liveness__proof__lemma_from_reconcile_idle_to_scheduled.rs,FAILED,233,1066.48,2074687,50564,2125251,6.982521
claude,NR,NR__spec_t__os_invariant__next_step_preserves_overlap_mem_inv.rs,FAILED,233,1113.29,2065407,58738,2124145,7.077291
claude,NR,NR__impl_u__wrapped_token__impl2__allocate.rs,FAILED,233,928.21,2046572,39903,2086475,6.738261
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,FAILED,233,1129.4,2020511,36109,2056620,6.603168
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,FAILED,233,790.01,2027652,28700,2056352,6.513456
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_init_step_to_send_list_pods_req.rs,FAILED,233,1200,2012708,32198,2044906,6.521094
claude-s4,NR,NR__impl_u__wrapped_token__impl3__finish_unmap_and_release_lock.rs,FAILED,233,1200,2007361,30778,2038139,6.483753
claude-s4,NR,NR__impl_u__wrapped_token__impl2__write_stutter.rs,FAILED,233,701.82,2012638,24177,2036815,6.400569
claude-s4,NR,NR__impl_u__wrapped_token__impl2__write_change.rs,FAILED,233,931.88,2007722,27907,2035629,6.441771
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,FAILED,233,870.23,1996315,38058,2034373,6.559815
claude-s4,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,FAILED,233,758.92,1999047,34729,2033776,6.518076
claude,NR,NR__impl_u__os_refinement__step_MapEnd_refines.rs,FAILED,233,947.12,1982316,50009,2032325,6.697083
claude,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,FAILED,233,924.83,1981845,43081,2024926,6.59175
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_inv_basic.rs,FAILED,233,924.95,1988631,33739,2022370,6.471978
claude,NR,NR__impl_u__wrapped_token__impl2__finish_map_and_release_lock.rs,FAILED,233,870.73,1979349,39405,2018754,6.529122
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_inv_pending_maps.rs,FAILED,233,1200,1967945,37208,2005153,6.461955
claude,NR,NR__impl_u__wrapped_token__impl3__finish_unmap_and_release_lock.rs,FAILED,233,972.74,1961650,31546,1993196,6.35814
claude,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_create_pod_req_to_receive_ok_resp.rs,FAILED,233,1200,1948174,44953,1993127,6.518817
claude-s4,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,FAILED,233,883.22,1936297,50120,1986417,6.560691
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_api_request_other_than_pending_req_msg_maintains_matching_pods.rs,FAILED,233,757.62,1950539,34786,1985325,6.373407
claude-s4,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,FAILED,233,823.62,1922503,27683,1950186,6.182754
claude-s4,OS,OS__kernel__syscall_send_endpoint__impl0__syscall_send_endpoint.rs,FAILED,233,1031.45,1906746,37281,1944027,6.279453
claude,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,FAILED,233,1160.59,1852166,89430,1941596,6.8979479999999995
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_send_delete_pod_req.rs,FAILED,-1,1200,1912347,28160,1940507,6.159440999999999
claude,OS,OS__kernel__create_and_share_pages__impl0__range_create_and_share_mapping.rs,FAILED,233,1141.24,1894542,31122,1925664,6.150456
claude-s4,NR,NR__spec_t__os_invariant__next_step_preserves_overlap_mem_inv.rs,FAILED,233,1095.15,1889076,34331,1923407,6.182193
claude,NR,NR__spec_t__os_invariant__step_MapNoOp_and_step_MapOpChange_preserves_overlap_mem_inv.rs,FAILED,233,1036.1,1871565,43004,1914569,6.259754999999999
claude-s4,NR,NR__impl_u__os_refinement__step_UnmapEnd_refines.rs,FAILED,233,1000.69,1870868,37714,1908582,6.178314
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_at_after_create_pod_step_to_done.rs,FAILED,233,1200,1866628,26706,1893334,6.000474
claude,NR,NR__impl_u__os_refinement__step_UnmapEnd_refines.rs,FAILED,233,905.76,1834592,50043,1884635,6.254421000000001
claude-s4,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map.rs,FAILED,233,753.7,1838378,35575,1873953,6.0487589999999996
claude-s4,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,FAILED,233,1200,1840714,26186,1866900,5.914931999999999
claude-s4,NR,NR__impl_u__wrapped_token__impl3__deallocate.rs,FAILED,233,1200,1836226,29260,1865486,5.947578
