model,task_dir,attempts,llm_calls,accepted_repairs,input_tokens_in_log,output_tokens_in_log,top_action,top_action_count,top_error,top_error_count
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper3-20251129-163151,20,90,1,697193,187139,seqsetmap,17,AssertFail,19
o4mini,o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_first-20251128-162520,20,90,1,281387,123931,compute,13,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp-20251203-044048,20,89,3,5387845,60290,uselemma,17,AssertFail,18
o4mini,o-AL__tla_forall_implies_equality2-20251126-011005,20,89,2,331142,220093,instantiate_forall,17,AssertFail,19
o4mini,o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251127-110014,20,89,2,323038,141043,induction,17,AssertFail,19
o4mini,o-IR__host_impl_v__impl2__host_model_next_get_request-20251126-142009,20,88,2,1176632,285611,case_analysis,18,AssertFail,18
gpt5,o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst-20251127-064103,20,88,3,867551,424875,instantiate_forall,17,AssertFail,17
o4mini,o-IR__delegation_map_v__impl1_remove-20251126-065356,20,88,2,418842,190986,seqsetmap,16,AssertFail,19
o4mini,o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq-20251128-160340,20,88,2,299720,134208,induction,18,AssertFail,18
gpt5,o-NR__spec_t__os_invariant__next_step_preserves_inv_mmu-20251128-044647,20,87,4,3677977,421561,case_analysis,11,AssertFail,19
o4mini,o-NR__spec_t__os_invariant__next_step_preserves_tlb_inv-20251128-065809,20,87,1,3083705,372127,case_analysis,16,AssertFail,19
o4mini,o-MA__bin_sizes__result_bin-20251127-162203,20,87,1,371798,202981,induction,12,AssertFail,19
gpt5,o-VE__utils__compare_slice-20251129-190947,20,87,1,358050,344677,loopinv,16,AssertFail,19
o4mini,o-OS__allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m-20251128-084747,20,86,3,1823836,230577,seqsetmap,16,AssertFail,18
claude,o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251202-180558,20,86,4,689459,91543,nonlinear_arithmetic,15,AssertFail,19
o4mini,o-NR__impl_u__l1__impl2__lemma_interp_of_entry_contains_mapping_implies_interp_aux_contains_mapping-20251127-163730,20,86,1,597075,238377,case_analysis,10,AssertFail,19
gpt5,o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251126-212955,20,86,1,509048,405224,case_analysis,16,AssertFail,19
o4mini,o-MA__bin_sizes__pow2_properties-20251127-154722,20,86,3,307768,130091,induction,14,AssertFail,18
o4mini,o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251128-003909,20,85,1,1153082,293979,case_analysis,13,AssertFail,19
gpt5,o-IR__marshal_v__impl4__lemma_same_views_serialize_the_same-20251126-234159,20,84,1,619959,408295,uselemma,10,AssertFail,19
gpt5,o-VE__regular__repetition__impl2__theorem_parse_serialize_roundtrip_helper-20251129-181229,20,84,1,465530,243108,induction,18,AssertFail,19
o4mini,o-AL__leads_to_apply-20251127-001117,20,84,3,273413,224172,instantiate_exists,14,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_garbage_collector_does_not_delete_vrs_pods-20251125-184216,20,83,1,3420937,364377,uselemma,18,AssertFail,19
o4mini,o-ST__inv_L_metadata_types_set_after_cdb_update-20251129-214348,20,83,2,803347,338936,case_analysis,17,AssertFail,19
claude-s4,o-ST__pmemutil_L_single_write_crash_effect_on_pm_regions_view-20251204-084850,20,83,5,701794,64567,uselemma,16,AssertFail,19
claude,o-MA__pigeonhole__pigeonhole_too_many_elements_implies_double-20251201-112854,20,83,4,453553,80653,instantiate_exists,7,AssertFail,15
o4mini,o-VE__regular__repetition__impl15__lemma_serialize_add-20251129-120400,20,83,1,303978,182851,induction,16,AssertFail,19
o4mini,o-AL__vec_lib-20251126-043516,20,83,2,217391,150333,instantiate_forall,16,AssertFail,18
claude,o-AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates_on_vrs_object-20251201-071904,20,82,1,5340544,137111,uselemma,19,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_done-20251202-235443,20,82,3,4987147,67763,uselemma,15,AssertFail,18
o4mini,o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251128-234729,20,82,2,854413,254022,case_analysis,11,AssertFail,19
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-152355,20,82,2,714101,243572,seqsetmap,16,AssertFail,18
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__pop-20251129-145355,20,81,1,767512,218802,seqsetmap,17,AssertFail,19
o4mini,o-OS__process_manager__process_tree__proc_tree_wf_imply_root_is_in_upper_tree-20251129-123704,20,81,3,586414,234495,induction,17,AssertFail,19
o4mini,o-AL__element_in_seq_exists_in_original_finite_set-20251126-203316,20,80,4,347582,192586,seqsetmap,14,AssertFail,19
o4mini,o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251127-025520,20,80,1,316279,186055,case_analysis,17,AssertFail,19
claude,o-IR__host_impl_v__impl2__host_model_next_shard-20251201-015416,20,79,1,1691027,75252,case_analysis,17,AssertFail,19
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper6-20251129-202547,20,79,1,679859,276586,seqsetmap,17,AssertFail,19
gpt5,o-VE__regular__repetition__impl2__lemma_parse_productive_helper-20251129-171229,19,79,2,351813,241357,induction,13,AssertFail,17
gpt5,o-VE__regular__repetition__impl1__lemma_spec_parse_err_unrecoverable-20251129-164228,20,79,2,343610,217001,induction,18,AssertFail,19
o4mini,o-IR__delegation_map_v__impl4__set-20251126-122536,20,78,3,499891,254080,add_trigger_assert,12,AssertFail,18
o4mini,o-IR__marshal_v__impl0__lemma_serialization_is_not_a_prefix_of-20251126-203146,20,78,1,446576,214316,case_analysis,11,AssertFail,17
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251203-003913,20,77,1,4924895,105428,postcondition_repair,10,PostCondFail,10
o4mini,o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251127-204704,20,77,4,1857401,348972,case_analysis,14,AssertFail,19
o4mini,o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251128-222059,20,77,3,722162,224049,case_analysis,14,AssertFail,19
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-172547,20,77,1,699792,284184,seqsetmap,18,AssertFail,19
o4mini,o-IR__marshal_v__impl2__lemma_serialization_is_not_a_prefix_of-20251126-220211,20,77,2,320462,253848,instantiate_exists,11,AssertFail,17
o4mini,o-NO__spec__cyclicbuffer__log_entry_alive_value_wrap_around-20251127-073019,20,77,1,235208,170567,case_analysis,12,AssertFail,19
o4mini,o-IR__verus_extra__lemma_map_set_singleton_auto-20251127-095811,19,77,4,215128,178435,instantiate_exists,14,AssertFail,17
o4mini,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp-20251126-091331,20,76,1,3413448,290647,uselemma,15,AssertFail,15
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper7-20251129-205548,20,76,1,699211,275733,seqsetmap,18,AssertFail,19
claude-s4,o-AL__tla_forall_not_equality-20251203-004928,20,76,5,522730,53640,compute,7,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_mutation_request_not_from_controller_on_pods-20251202-192827,20,75,1,4133944,69841,uselemma,17,AssertFail,19
o4mini,o-ST__logimpl_L_check_fast_way_to_compute_head_mod_log_area_len-20251129-231137,20,75,1,312385,189442,nonlinear_arithmetic,14,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_garbage_collector_does_not_delete_vrs_pods-20251202-182818,20,74,3,4080270,55268,uselemma,15,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates-20251203-095331,20,74,2,3841101,42411,precondition_repair,14,PreCondFail,14
claude-s4,o-AL__tla_forall_a_p_leads_to_q_a_is_stable-20251202-222637,20,74,4,342196,47168,instantiate_forall,14,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-165508,20,73,6,2803845,256101,case_analysis,10,AssertFail,19
claude,o-AL__tla_forall_leads_to_equality1-20251130-193853,20,73,2,485791,63646,extensional_equality,11,AssertFail,19
o4mini,o-MA__commit_mask__impl__lemma_change_one_entry-20251127-202253,20,73,7,378257,202077,instantiate_exists,9,AssertFail,19
o4mini,o-NR__impl_u__l1__impl2__lemma_nonempty_implies_interp_contains-20251127-181521,20,73,0,280890,122508,postcondition_repair,20,PostCondFail,20
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251202-225443,20,72,1,5582250,101905,postcondition_repair,10,PostCondFail,10
o4mini,o-AC__vreplicaset_controller__proof__helper_lemmas__only_interferes_with_itself_equivalent_to_lifted_only_interferes_with_itself_action-20251125-214508,20,72,8,642406,307999,instantiate_forall,13,AssertFail,18
o4mini,o-IR__marshal_v__impl0__lemma_serialize_injective-20251126-210146,20,72,1,217705,167422,uselemma,12,AssertFail,13
o4mini,o-NR__impl_u__os_refinement__extra_mappings_removed-20251127-211703,20,71,10,1714698,271179,case_analysis,14,AssertFail,19
claude,o-NR__spec_t__os_invariant__lemma_init_implies_empty_map-20251201-222601,20,71,0,1174458,133775,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251128-123748,20,71,1,1098285,233111,instantiate_forall,16,AssertFail,19
o4mini,o-ST__inv_L_active_metadata_set_after_crash-20251129-190830,20,71,5,670816,228719,extensional_equality,7,AssertFail,19
o4mini,o-OS__pagetable__pagemap__impl0__set-20251128-234430,20,71,5,484805,166001,seqsetmap,12,AssertFail,18
o4mini,o-AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates-20251126-153449,20,70,1,2746269,217079,instantiate_forall,14,AssertFail,18
o4mini,o-NR__spec_t__os_invariant__next_step_preserves_inv_pending_maps-20251128-052809,20,70,6,2578919,299504,case_analysis,9,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150449,20,70,8,667947,290062,instantiate_forall,12,AssertFail,19
claude-s4,o-OS__process_manager__impl_base__impl0__pass_endpoint-20251204-112113,20,69,2,1817210,37228,postcondition_repair,20,PostCondFail,20
o4mini,o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets-20251127-054355,20,69,7,698002,128218,loopinv,13,AssertFail,13
o4mini,o-IR__delegation_map_v__impl1_set-20251126-072356,20,69,2,310020,177540,case_analysis,11,AssertFail,19
o4mini,o-OS__pagetable__pagemap__impl0__init-20251128-232035,20,69,6,282868,160435,loopinv,11,AssertFail,11
o4mini,o-IR__verus_extra__map_fold_ok-20251127-121656,20,69,3,261868,156725,induction,13,AssertFail,19
o4mini,o-NO__spec__utils__seq_to_set_rec_contains-20251127-111841,20,69,2,143923,120793,postcondition_repair,16,PostCondFail,16
gpt5,o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251128-054648,20,68,2,2683099,448660,case_analysis,14,AssertFail,19
o4mini,o-NR__impl_u__os_refinement__extra_mappings_preserved-20251127-201704,20,68,6,1673928,253917,case_analysis,7,AssertFail,19
o4mini,o-IR__delegation_map_v__impl1_insert-20251126-062356,20,68,8,268121,141540,loopinv,10,AssertFail,14
o4mini,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_interfering_update_request-20251125-194216,20,67,5,2872722,272892,uselemma,12,AssertFail,18
o4mini,o-NR__spec_t__os_invariant__step_MapNoOp_and_step_MapOpChange_preserves_overlap_mem_inv-20251128-072809,20,67,2,2280986,241085,case_analysis,14,AssertFail,19
o4mini,o-OS__allocator__page_allocator_spec_impl__impl2__remove_io_mapping_4k_helper1-20251128-111749,20,67,7,1108974,194139,case_analysis,12,AssertFail,19
o4mini,o-MA__bin_sizes__result_smallest_bin_fitting_size_size_of_bin-20251127-174726,20,67,3,320633,204615,induction,9,AssertFail,19
o4mini,o-IR__host_impl_v__impl2__parse_end_points-20251126-163429,20,67,8,289638,153410,loopinv,10,AssertFail,17
o4mini,o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_read-20251128-164428,20,67,3,279424,165899,induction,8,AssertFail,19
claude-s4,o-NR__spec_t__os_invariant__next_step_preserves_tlb_inv-20251203-225957,20,66,3,3667500,63684,case_analysis,8,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_create_pod_req_to_receive_ok_resp-20251126-081331,20,66,4,2915074,296106,precondition_repair,9,AssertFail,9
claude-s4,o-IR__host_impl_v__impl2__process_received_packet_next-20251203-093151,20,66,1,1762578,51206,case_analysis,7,AssertFail,14
o4mini,o-NR__impl_u__os_refinement__extra_mappings_submap-20251127-214703,20,66,5,1636303,259643,case_analysis,10,AssertFail,18
o4mini,o-IR__delegation_map_v__impl1_to_set-20251126-075356,20,66,1,637624,188090,seqsetmap,16,AssertFail,19
gpt5,o-IR__marshal_v__impl3__lemma_serialize_injective-20251126-215955,20,66,1,417836,293588,case_analysis,18,AssertFail,19
o4mini,o-AL__seq_pred_false_on_all_elements_implies_empty_filter-20251125-203646,20,66,6,226281,157196,case_analysis,9,AssertFail,18
o4mini,o-IR__verus_extra__lemma_filter_skip_rejected-20251127-081714,20,66,4,220092,137164,compute,6,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__spec__stable_spec_and_assumption_and_invariants_of_all_phases_is_stable-20251203-071808,15,65,2,3912516,51715,uselemma,13,AssertFail,13
claude-s4,o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251203-221218,20,65,4,3328640,91378,precondition_repair,8,AssertFail,12
o4mini,o-OS__process_manager__process_tree__new_proc_preserve_tree_inv_2-20251129-105423,20,65,7,684462,193563,case_analysis,6,AssertFail,19
o4mini,o-NR__impl_u__os_refinement__os_init_refines_hl_init-20251128-024532,17,65,4,584285,180215,uselemma,12,AssertFail,15
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper2-20251129-161327,20,65,1,567483,125420,seqsetmap,16,AssertFail,19
claude-s4,o-NR__impl_u__os_refinement__step_MapStart_refines-20251203-213040,20,64,9,2794978,57440,case_analysis,7,AssertFail,16
o4mini,o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251128-205336,20,64,4,894095,249863,case_analysis,16,AssertFail,19
gpt5,o-IR__marshal_v__impl0__deserialize-20251126-180100,20,64,1,444206,226408,seqsetmap,16,AssertFail,19
o4mini,o-ST__pmemutil_calculate_crc_bytes-20251129-055753,20,64,1,409148,167305,seqsetmap,13,AssertFail,19
o4mini,o-IR__marshal_v__impl4__deserialize-20251126-235124,20,64,7,304969,214758,loopinv,13,AssertFail,16
o4mini,o-IR__verus_extra__lemma_fold_left_append_merge-20251127-090252,20,64,1,276200,186426,induction,18,AssertFail,19
o4mini,o-MA__layout__mod_mul-poly-20251127-034558,20,64,2,205581,150119,nonlinear_arithmetic,6,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_mutation_request_not_from_controller_on_pods-20251125-201216,20,63,1,2574375,267109,uselemma,16,AssertFail,19
o4mini,o-NR__spec_t__os_invariant__init_implies_inv-20251127-234513,20,63,9,1506452,224242,instantiate_exists,11,AssertFail,19
claude-s4,o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_not_pending_is_not_in_sbuf-20251204-070012,20,63,3,1230058,43397,case_analysis,9,AssertFail,19
gpt5,o-IR__host_impl_v__impl2__host_model_next_shard-20251126-125732,20,63,2,1002404,306676,uselemma,13,AssertFail,19
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper4-20251129-192547,20,63,1,607357,255352,seqsetmap,19,AssertFail,19
claude-s4,o-AL__tla_exists_implies_equality1-20251202-213621,20,63,4,486213,53869,case_analysis,7,AssertFail,19
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-155355,15,63,3,481662,140367,seqsetmap,12,AssertFail,13
o4mini,o-MA__bin_sizes__result_idx_in_range_has_bin_size-20251127-165201,20,63,6,326085,183912,case_analysis,11,AssertFail,19
claude,o-AC__vreplicaset_controller__proof__liveness__proof_lemma_true_leads_to_always_current_state_matches-20251130-215602,20,62,1,4514276,73577,uselemma,19,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_list_pods_to_reconcile_idle-20251203-084914,20,62,9,3592794,64035,case_analysis,13,AssertFail,16
o4mini,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_vrs_reconcile_request_only_interferes_with_itself-20251125-181216,20,62,5,2544438,241103,instantiate_forall,11,AssertFail,18
o4mini,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251126-001055,20,62,7,2245672,246335,compute,7,AssertFail,17
o4mini,o-NR__impl_u__os_refinement__step_MapEnd_refines-20251128-034616,20,62,5,1682249,254128,postcondition_repair,12,PostCondFail,12
claude-s4,o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state-20251204-102834,20,62,7,1537139,48999,uselemma,8,AssertFail,16
o4mini,o-NR__spec_t__mmu__rl2__lemma_unmapping__pt_walk_valid_in_post_unchanged-20251129-001729,20,62,2,899390,182041,case_analysis,18,AssertFail,19
o4mini,o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_walk_unchanged-20251128-214950,20,62,2,631931,232174,case_analysis,18,AssertFail,19
o4mini,o-IR__marshal_v__impl0__deserialize-20251126-200154,20,62,2,409564,180910,seqsetmap,11,AssertFail,19
claude-s4,o-VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper-20251204-114933,20,62,2,409251,40685,induction,11,AssertFail,19
o4mini,o-ST__subregion_write_relative3-20251129-100024,20,62,8,338737,246687,case_analysis,8,AssertFail,18
claude-s4,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_other_pending_request_interferes_with_vrs_reconcile-20251202-185226,20,61,2,3793524,58309,uselemma,10,AssertFail,19
o4mini,o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251128-142958,20,61,6,1569600,185686,case_analysis,9,AssertFail,17
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__merged_4k_to_2m-20251204-013553,20,61,8,1285866,43318,case_analysis,9,AssertFail,15
o4mini,o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251128-212336,20,61,4,611041,206066,instantiate_forall,12,AssertFail,19
o4mini,o-IR__net_sht_v__send_packet-poly-20251127-041005,19,61,6,567906,181933,case_analysis,10,AssertFail,16
gpt5,o-IR__delegation_map_v__impl4__almost_all_keys_agree-20251126-083750,20,61,10,510116,307477,uselemma,8,AssertFail,17
o4mini,o-NR__spec_t__mmu__pt_mem__impl0__lemma_pt_walk-20251128-153451,20,61,7,478328,183861,case_analysis,12,AssertFail,17
o4mini,o-AL__seq_unequal_preserved_by_add-20251125-210617,20,61,2,291647,135989,seqsetmap,9,AssertFail,19
o4mini,o-AL__leads_to_always_combine-20251126-231324,20,61,10,290538,215416,instantiate_exists,11,AssertFail,18
gpt5,o-MA__layout__impl__calculate_page_block_at-20251127-005021,20,61,0,231449,257815,arithmetic_overflow_repair,20,ArithmeticFlow,20
o4mini,o-NR__impl_u__l1__impl2__lemma_entries_interp_remove_implies_interp_aux_remove-20251127-151255,20,60,11,530740,228541,extensional_equality,10,AssertFail,19
o4mini,o-IR__verus_extra__lemma_seq_push_to_set-20251127-112732,20,60,4,328363,195905,seqsetmap,12,AssertFail,19
gpt5,o-IR__marshal_v__impl4__lemma_serialize_injective-20251127-004200,20,60,5,299154,254776,inductive_lemma,7,AssertFail,18
o4mini,o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251127-051834,20,60,8,278615,218300,extensional_equality,8,AssertFail,16
claude-s4,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l3-20251204-081122,20,59,6,1581720,49035,seqsetmap,6,AssertFail,13
gpt5,o-IR__single_delivery_state_v__impl0__truncate-20251127-074512,20,59,3,567136,229005,instantiate_forall,12,AssertFail,17
o4mini,o-IR__delegation_map_v__impl3__set-20251126-102511,20,59,10,504421,173803,seqsetmap,9,AssertFail,18
o4mini,o-NR__impl_u__l1__impl2__lemma_interp_of_entry_disjoint_mappings-20251127-170843,20,59,11,451800,208340,instantiate_forall,8,AssertFail,15
claude-s4,o-AL__tla_exists_and_equality-20251202-210621,20,59,9,438901,54260,case_analysis,10,AssertFail,18
o4mini,o-IR__verus_extra__lemma_seq_fold_left_append_len_int_le-20251127-103014,20,59,2,382109,190890,induction,15,AssertFail,19
o4mini,o-IR__marshal_v__impl4__serialize-20251127-015617,20,59,9,242740,125289,loopinv,11,AssertFail,16
o4mini,o-NR__spec_t__os_invariant__next_step_preserves_inv_basic-20251128-042809,20,58,9,2169187,260071,case_analysis,9,AssertFail,17
claude-s4,o-NR__impl_u__wrapped_token__impl1__lemma_interps_match_aux1-20251203-234154,20,58,7,1213460,54767,induction,6,AssertFail,19
claude-s4,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper7-20251204-151518,20,58,4,831333,54344,seqsetmap,16,AssertFail,19
o4mini,o-IR__host_impl_v__impl2__deliver_packet_seq-20251126-125840,20,58,7,822016,220318,instantiate_exists,7,AssertFail,18
o4mini,o-OS__memory_manager__spec_impl__impl0__create_pagetable_l4_entry-20251128-220930,20,58,8,763618,191876,uselemma,9,AssertFail,16
o4mini,o-IR__single_delivery_state_v__impl0__truncate-20251127-070409,20,58,5,602667,200271,inductive_lemma,8,AssertFail,17
claude-s4,o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251203-121353,20,58,1,417861,53769,case_analysis,18,AssertFail,19
o4mini,o-AL__tla_exists_and_equality-20251125-220708,20,58,6,306904,159099,instantiate_exists,7,AssertFail,19
claude-s4,o-NR__spec_t__os_invariant__next_step_preserves_inv_allocated_mem-20251203-203751,20,57,7,2945663,60196,case_analysis,14,AssertFail,19
gpt5,o-OS__process_manager__impl_base__impl0__block_running_thread_and_change_queue_state-20251129-073601,20,57,4,1366736,198696,seqsetmap,14,AssertFail,16
o4mini,o-IR__host_impl_v__impl2__real_next_impl-20251126-172917,20,57,10,1161528,259835,case_analysis,7,AssertFail,19
gpt5,o-IR__marshal_v__impl4__deserialize-20251126-224159,20,57,2,447742,297452,loopinv,18,AssertFail,18
claude,o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251202-130911,20,57,4,447371,68166,induction,6,AssertFail,19
o4mini,o-NR__spec_t__os_invariant__lemma_insert_preserves_no_overlap-20251128-024841,20,57,10,360857,189417,instantiate_forall,9,AssertFail,19
o4mini,o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251126-190246,20,57,6,359217,162114,induction,12,AssertFail,19
o4mini,o-NR__impl_u__l2_impl__impl0__lemma_new_entry_mb0_bits_are_zero-20251127-190023,20,57,12,312242,128457,reveal_opaque,8,AssertFail,15
gpt5,o-MA__commit_mask__lemma_obtain_bit_index_1_aux-20251126-210400,20,57,3,277750,258427,induction,13,AssertFail,18
o4mini,o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-093252,20,57,3,239085,131715,case_analysis,6,AssertFail,19
gpt5,o-MA__layout__mod_mul-poly-20251127-012339,20,57,1,197191,114257,integer_ring,18,AssertFail,19
claude,o-MA__layout__mod_mul-poly-20251201-103905,20,57,1,186885,38321,integer_ring,18,AssertFail,19
claude,o-AC__vreplicaset_controller__proof__liveness__spec__spec_entails_all_invariants-20251201-045601,20,56,10,4073203,84276,precondition_repair,9,PreCondFail,9
claude,o-AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates-20251201-065913,20,56,4,3105642,68774,instantiate_forall,13,AssertFail,18
