split,task_id,project_code,claude_status,claude_outcome,source_loc,claude_time_seconds,claude_total_tokens,difficulty_proxy,source_sha256
train,IR__net_sht_v__sht_demarshall_data_method,IR,VERIFIED,normal,501,19.95,8033,0.393939,500b7e3740d33d694256cac70499416f14f6c5846049c18a27cd6d036947d2d6
train,IR__delegation_map_v__impl1_remove,IR,VERIFIED,normal,63,495.94,56398,0.656566,16fa5ed23185ee6fb0026fac279456aa9968b0c1e34731bc0b49b77ed7a2c03b
train,IR__verus_extra__set_map_union,IR,VERIFIED,normal,11,105.24,38596,0.444444,3b1299a2717c6a4a8b39c18b60d72c99950cc6f44bc4c279564be8257223e42d
train,AC__vreplicaset_controller__proof__liveness__spec__stable_spec_and_assumption_and_invariants_of_all_phases_is_stable,AC,VERIFIED,normal,4857,66.72,181009,0.627451,e41f6d57344623cb6744789abf81718320557ebed40419795aff2cec30fab400
train,IR__verus_extra__map_fold_ok,IR,VERIFIED,normal,37,18.94,3833,0.151515,ef6d25f15ff99073e644bd98acfeed5a67345cbb511afd6a5ac364d639a69b84
train,IR__single_delivery_model_v__same_view_same_marshalable,IR,VERIFIED,normal,458,14.45,7536,0.343434,ea375487575789133b4f2ec3c78bb748e173886cb8a66ebe247b24f74551660a
train,AL__execution_equality,AL,VERIFIED,normal,21,47.45,12381,0.245614,7ca842a9592b881b7e449b6f49b07b71493669e978a2e9a9307e0b02598fbaa2
train,AL__always_p_or_eventually_q_rec,AL,FAILED,failed,58,789.07,328816,0.333333,ec4ea47c9d20546627794e1114733750c4a83fb1d8a9689ce9d0fecfe0308817
train,AL__seq_equal_preserved_by_add,AL,VERIFIED,normal,13,37.73,12657,0.149123,46127e70fa8f86814c5f02cd29467c51f8cea7fe2e1f7aca193dc422d18e07f6
train,AC__vreplicaset_controller__proof__liveness__spec__invariant_since_phase_i_is_stable,AC,VERIFIED,normal,787,13.78,8523,0.039216,8993c859d2f01f168485478309860fb82cd8bc3f462b975bac9165e68eb02db6
train,IR__marshal_ironsht_specific_v__lemma_is_marshalable_CKeyHashMap,IR,FAILED,failed,246,1357.23,559159,0.538462,380eeae05b1ca465ea0c10866c3d7d4acf10582d35fe448ffb5065e6cd34effb
train,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_to_send_delete_pod_req,AC,TIMEOUT,failed,4962,1800.01,0,0.602151,2b7b2639720712c5b3b2e67d0eb4b959001507dd129dbc025373e98cbb9781ef
train,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_vrs_in_schedule_does_not_have_deletion_timestamp,AC,FAILED,failed,3819,1091.96,2670766,0.387097,05f1376ff5a23b883569028c8a87742bd27ad2e2c4caabdbd219d74b5578fed0
train,AL__always_double_equality,AL,VERIFIED,normal,85,274.53,91346,0.72807,13e90a332f6d911b6fe651b7de8302cf49c86a6d14fef8b6024b694dda0c3519
train,AL__leads_to_trans,AL,VERIFIED,normal,137,162.61,56522,0.859649,7643334eb96ac7feb3205e3b4f92f1d8888ac291f6a73bbca2b82dfba3c8bec8
train,AL__wf1_variant_temp,AL,VERIFIED,normal,151,712.16,245321,0.991228,406d369ad05973c1d0b030102d7404c94278d7bc98960932de81b6ca35a063be
train,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller,AC,FAILED,failed,4255,1129.4,2056620,0.27957,0b2773ec4b707fb4f8e0d9f1c1fd8b1f086cb9fd91386be8b75544b3adea07b0
train,AL__filtered_size_is_zero_means_no_such_value,AL,VERIFIED,normal,17,115.01,40870,0.482456,8ce99473a1758403338bc4a8394ec0809ce39b212a046de4ec8f4e731db8b99f
train,IR__single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst,IR,FAILED,failed,755,772.16,633746,0.564103,43aacc1ef465a6c390821c72cab1dd6903b2c99badaa3d296c18c0614c4c8b83
train,IR__marshal_ironsht_specific_v__impl2__deserialize,IR,VERIFIED,normal,274,57.69,26460,0.555556,1b0174a4f7e9a6a52d1f88a20a8d67341f501572e331342cab1be0b7c043be16
train,AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable,AC,VERIFIED,normal,2159,56.29,27222,0.411765,0c241cdfaee7efbc47b304be9f9c47bf89d6824172350e8f6071ba8c3bf1bdd6
train,AL__always_lift_action_unfold,AL,VERIFIED,normal,78,48.38,15150,0.377193,ced80a1f8c9c8981df3904d6ff5050f5f4fb91d01fd3bb641a3227af2ad3bd9b
train,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp,AC,VERIFIED,normal,4954,504.86,1309059,0.823529,75e24ed1c3598e35dfecc597918242b87a63afc052eacd3a58d3759083998f34
train,IR__net_sht_v__send_packet_seq,IR,FAILED,failed,624,729.83,594668,0.461538,7dce4463d2ad1a3e63924ec897730d005aa30ecb5b726394e9ba0763c5afcaa5
train,AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds_per_cr,AC,FAILED,failed,5407,974.13,2760420,0.645161,60d7e49c6eaa6a9b58bf5d1228607afed3e44cd9db24b24d431e280b23c1671b
train,IR__verus_extra__lemma_fold_left_append_merge,IR,FAILED,failed,14,800.85,447842,0.179487,654f4f670053397f143a48060e020d32e3519eac74140ed7f67fe4fb7ce4e506
train,IR__marshal_v__impl2__lemma_serialize_injective,IR,VERIFIED,normal,118,793.24,436788,0.828283,c5b59bd3579e57cfbcb0eb7c0bc970ff6a46f2ad74dee25e0a8cec6574810650
train,AL__eliminate_always,AL,VERIFIED,normal,86,115.78,42012,0.614035,711e34c98998b5edb7c0a2df7ff85f4af5b471e339ba39088f964f86074f5d6c
train,AL__simplify_predicate,AL,VERIFIED,normal,87,43.13,14317,0.377193,d0041f5ecf2e26f92d6a42ea3b9f355ed6eabf5a4f2f18157a8058d523629e12
selection,AL__tla_forall_not_equality,AL,FAILED,failed,82,754.03,385264,0.466667,2044ca1f205c49f95ea4710872906da765a44a5abb3c2a67e4aea6961aa3053f
selection,AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition,AC,VERIFIED,normal,855,362.58,289372,0.470588,df3facae7b68ee7c84224c2ce77590da096f312840cb24e74b27692bee1099ee
selection,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_api_request_other_than_pending_req_msg_maintains_matching_pods,AC,FAILED,failed,3878,951.04,2182932,0.172043,53b6fbe427d1289f54a9ef8b082f5a2ee61b5dcd76c08dbb62f05c03b391b58d
selection,AC__vreplicaset_controller__proof__helper_lemmas__matching_pods_equal_to_matching_pod_entries_values,AC,VERIFIED,normal,432,18.22,6112,0.117647,cc5b4c1b328e1cb0a643a05969d826f4ab7bd2042d914ac2ec3e5cf03fca87ef
selection,AL__spec_entails_always_tla_forall,AL,VERIFIED,normal,88,53.3,17910,0.517544,a44f26a6f7ab1ca4a38b496fa06676b1734413dd7faed1ba3c89124fe2552218
selection,AL__true_pred_on_seq_implies_true_pred_on_filtered_seq,AL,VERIFIED,normal,20,17.53,2435,0.061404,7bff1c5c19cd3ebe08f2d3281669353249982a0c940078c0bd2109f60a6964c2
selection,AL__leads_to_rank_step_one_help,AL,VERIFIED,normal,94,45.72,15426,0.464912,e7e596c6b475c1a8e9818d638d376fb024e789638c411e2c839855fa03b377a6
selection,IR__marshal_v__impl0__deserialize,IR,FAILED,failed,149,1317.93,508366,0.410256,62a4f7f82874c3c5a9b2e253cfc8e3bf8262b51869b79c976ba1a9a2e4365d75
selection,AL__pack_conditions_to_spec,AL,VERIFIED,normal,106,103.99,44479,0.745614,d79b1d81c1566689d8b74eb8802dab80b87f664e6486ea3a8df45a0680e3a048
selection,AC__vreplicaset_controller__proof__liveness__spec__next_with_wf_is_stable,AC,VERIFIED,normal,3608,65.78,81409,0.490196,17af50add1c3eb0aea62ed65316b7a1bb06b0fb3dbb7d2e264c7a803a0322a90
selection,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_delete_pod_req_to_receive_ok_resp,AC,FAILED,failed,4966,1459.75,2835623,0.763441,4c81887af511426b2a84b13c70080cd4319e18705cd13d1669cc3cdea831cccf
selection,IR__verus_extra__map_set_finite_auto,IR,VERIFIED,normal,21,11.91,2028,0.050505,9f9066e469865c7741d12970beb1ec1c0ab04dca43f72eb78b4bc450d7956353
selection,AL__unpack_conditions_from_spec,AL,VERIFIED,normal,120,306.3,65620,0.903509,8740278e3269964da2ec60994a11e27e1ed7d08b74c007c613a00dd3b61e9bea
selection,IR__delegation_map_v__impl4__new,IR,VERIFIED,normal,214,57.82,24231,0.515152,2daaadf8b5ffda13a0cf6221593dc7493dc870dec6b48e372f2088fad4cfe7c2
selection,IR__delegation_map_v__impl4__set,IR,FAILED,failed,377,973.35,687298,0.666667,bbd8765991689bfcf3d774df3109b13c94b6104c93b564d5b204d7d32a4457c4
selection,IR__single_delivery_state_v__impl0__lemma_seqno_in_un_acked_list,IR,VERIFIED,normal,578,57.5,34010,0.636364,fb4b1d9c87a31a432491588c2fe850b07b7ef3ac455f3ce931b336a7a7cdd183
selection,AL__always_distributed_by_and,AL,VERIFIED,normal,75,47.19,13628,0.307018,c8f9cee5f8dd54bcc5cb43e1baa6ce378c9cb1e4ac5bcd3c90d7338e32957748
selection,IR__single_delivery_state_v__impl1__insert,IR,VERIFIED,normal,76,40.36,11326,0.282828,14f93e9deef2fe6af380732e5c85aabee8c98cbf7bca5f87da6eb83ece7678cd
selection,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok,AC,VERIFIED,normal,4060,585.33,1514991,0.843137,ffee30e9eacdaeb2abf14c5daed598ea40a01555c675ad569729cdcee90e1a31
selection,IR__delegation_map_v__impl3__keys_in_index_range_agree,IR,VERIFIED,normal,123,291.94,124780,0.727273,de4390f80a79f8c6d985b31cb13968bd48b313506cc03f9af36f776b015ef4e8
test,AL__leads_to_by_borrowing_inv,AL,VERIFIED,normal,103,45.09,14302,0.473684,20bb68867bdf8060d8ef5ffcb0d2895a2b68921654dd2ae01b0eb60bd6af0495
test,AL__entails_implies_leads_to,AL,VERIFIED,normal,92,14.13,2931,0.236842,5487d61bd99b37f8d3917ad631308304ae0e1f647989aa6b11f2dfc000f038d2
test,IR__marshal_v__impl3__lemma_serialize_injective,IR,VERIFIED,normal,118,389.26,168960,0.777778,c341f1b4c97d6a15b6bf89221b1a2d4ac571c1d3ef399de119f7251825ec356b
test,AL__push_to_set_seq_to_set_insert,AL,VERIFIED,normal,13,298.39,151473,0.622807,2b796a0cc86f86d8a4b8934d6ad9a2780e8cd3c460432a5f2d3ff64e71a66147
test,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods,AC,VERIFIED,normal,3758,701.47,1511301,0.803922,6fcbfdf7012f7443970f6915f7520f5efa8b2c69c8ff30c6c0fdd8292071fe8c
test,AC__vreplicaset_controller__proof__liveness__spec__invariant_since_phase_iv_is_stable,AC,VERIFIED,normal,829,14.12,8544,0.117647,58fe0d84f137a5da6cde4375cf2a70336fa7a93f871bc0ec17be8a86b271df68
test,IR__verus_extra__lemma_seq_fold_left_sum_len_int_positive,IR,VERIFIED,normal,15,39.88,13132,0.171717,aac3faf8dde41412418f112a6d6caf8ea577c86f6592d454de5097553dfbae89
test,AL__seq_filter_preserves_no_duplicates,AL,FAILED,failed,24,732.71,441389,0.4,0e9962fa56759a839363b83814f51c177be8a59c81170585c2b7eed938d28c07
test,IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective,IR,FAILED,failed,257,1445.95,357064,0.487179,39731482101ef62a4bed7b31292c8665761441d538f71a6d156bb6c8079c2d6e
test,IR__host_impl_v__make_send_only_event_results,IR,VERIFIED,normal,126,44.1,16614,0.414141,f5263090467afb9b73dba22065484f20ae008aa30ed7189d1c70216e1439938a
test,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_other_pending_request_interferes_with_vrs_reconcile,AC,FAILED,failed,4965,1062.4,2927436,0.688172,153a036e66c0507e7f82d9cdf1131a5780cadfc5ef18c78bd2960bc28c516241
test,AL__always_implies_to_leads_to,AL,VERIFIED,normal,103,155.42,60359,0.798246,27f134d158314aa8c4249da0b7b6927dea19d5a374345e7e3997c1ec27a72076
test,AC__vreplicaset_controller__proof__liveness__spec__invariant_is_stable,AC,VERIFIED,normal,4316,17.33,49719,0.490196,727cdd32ddae566cd5f69d260f901b28b30040c0ee8410861b619c7bc063c056
test,AL__always_to_current,AL,VERIFIED,normal,63,19.49,4314,0.122807,f13bca3450bb5b912ac13d6971441cabb875cc6534b3e30354a61056a139d8d1
test,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok,AC,VERIFIED,normal,3990,582.12,1469439,0.764706,8d37dd9244ae1dea2f433bc42287f277df7b22d820d975e06d5626af92fa33ce
test,IR__delegation_map_v__impl4__empty_key_range_is_consistent,IR,VERIFIED,normal,143,282.35,82242,0.717172,50d21c8ab0a2a6629a8d5dc20d6179091a846e95aed6cd8d476bc67ca0f16c05
test,IR__delegation_map_v__impl3__values_agree,IR,VERIFIED,normal,117,79.16,25694,0.484848,2cea72cbda5848c7d6661d15991e56e3504ef6fcd463e90e777defd978c89130
test,AL__leads_to_shortcut_temp,AL,VERIFIED,normal,110,52.46,14333,0.570175,b6b510353a6a400fd2210595eb666449ce9cfbe5e193a02f430f0e52939ca552
test,IR__single_delivery_model_v__impl2__send_single_cmessage,IR,FAILED,failed,985,865.12,760902,0.717949,0a72fa7be5402ff0726b31c2a07c40a45fa71e60050e3689a67899ec1e9f75bd
test,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_to_send_create_pod_req,AC,TIMEOUT,failed,4918,1800.01,0,0.537634,fb01080e4d16c978979275c8398caa3a0339db11ec9aaaa283f56113a87ffc00
